País,Año,Precipitación (mm)
Afghanistan,2018,1571.1786
Afghanistan,2019,1307.4216
Afghanistan,2020,671.9784
Afghanistan,2021,1219.7521
Afghanistan,2022,1211.8192
Afghanistan,2023,2193.1787
Afghanistan,2024,169.26355
Albania,1940,156.05392
Albania,1941,876.52954
Albania,1942,1025.5957
Albania,1943,200.75223
Albania,1944,838.1479
Albania,1945,1006.02527
Albania,1946,1310.7253
Albania,1947,53.165073
Albania,1948,240.74095
Albania,1949,932.93945
Albania,1950,2749.9534
Albania,1951,979.24005
Albania,1952,1029.4379
Albania,1953,901.1822
Albania,1954,62.719013
Albania,1955,704.54395
Albania,1956,1972.3013
Albania,1957,691.6612
Albania,1958,621.0294
Albania,1959,972.7398
Albania,1960,2075.9949
Albania,1961,16.217106
Albania,1962,690.55
Albania,1963,779.2924
Albania,1964,1349.9502
Albania,1965,1485.8186
Albania,1966,2292.886
Albania,1967,176.47801
Albania,1968,41.426918
Albania,1969,1196.5715
Albania,1970,715.9657
Albania,1971,589.786
Albania,1972,311.49655
Albania,1973,1667.509
Albania,1974,276.2307
Albania,1975,826.3049
Albania,1976,2366.7349
Albania,1977,338.57492
Albania,1978,1617.3119
Albania,1979,624.6128
Albania,1980,744.3871
Albania,1981,1309.8922
Albania,1982,1515.4143
Albania,1983,29.050703
Albania,1984,820.7901
Albania,1985,818.0603
Albania,1986,973.0141
Albania,1987,38.9862
Albania,1988,277.45868
Albania,1989,3103.7195
Albania,1990,3041.8643
Albania,1991,2017.6837
Albania,1992,1809.2827
Albania,1993,2639.8298
Albania,1994,603.37665
Albania,1995,857.2666
Albania,1996,1468.7427
Albania,1997,23.774055
Albania,1998,845.4126
Albania,1999,528.03015
Albania,2000,1820.0784
Albania,2001,215.41501
Albania,2002,1665.5331
Albania,2003,3093.591
Albania,2004,56.55282
Albania,2005,488.93423
Albania,2006,902.28674
Albania,2007,1107.4398
Albania,2008,2377.0476
Albania,2009,726.92163
Albania,2010,1017.7578
Albania,2011,3658.9705
Albania,2012,452.76917
Albania,2013,463.01083
Albania,2014,1333.0822
Albania,2015,1267.4265
Albania,2016,689.93243
Albania,2017,1723.7092
Albania,2018,217.52242
Albania,2019,1257.582
Albania,2020,673.74445
Albania,2021,1288.2554
Albania,2022,182.95381
Albania,2023,1197.3624
Albania,2024,515.0738
Algeria,1940,1143.2944
Algeria,1941,1806.6619
Algeria,1942,1243.3699
Algeria,1943,1107.5808
Algeria,1944,1528.6168
Algeria,1945,159.43195
Algeria,1946,781.9968
Algeria,1947,97.40004
Algeria,1948,1437.007
Algeria,1949,1867.4436
Algeria,1950,564.1764
Algeria,1951,25.571896
Algeria,1952,846.30536
Algeria,1953,774.9463
Algeria,1954,1238.3528
Algeria,1955,151.55087
Algeria,1956,2236.7153
Algeria,1957,1838.7062
Algeria,1958,2009.5912
Algeria,1959,284.86133
Algeria,1960,1061.6096
Algeria,1961,182.3515
Algeria,1962,1251.3771
Algeria,1963,629.1981
Algeria,1964,739.01074
Algeria,1965,196.80933
Algeria,1966,1350.7261
Algeria,1967,50.956352
Algeria,1968,3576.4675
Algeria,1969,713.31024
Algeria,1970,758.524
Algeria,1971,1236.5475
Algeria,1972,1336.5345
Algeria,1973,776.3971
Algeria,1974,845.63446
Algeria,1975,402.50888
Algeria,1976,1240.0359
Algeria,1977,530.95294
Algeria,1978,917.3308
Algeria,1979,3.2920837
Algeria,1980,2345.8247
Algeria,1981,644.85443
Algeria,1982,694.91895
Algeria,1983,1558.328
Algeria,1984,883.9222
Algeria,1985,2949.301
Algeria,1986,1522.3116
Algeria,1987,1231.1968
Algeria,1988,383.40106
Algeria,1989,1638.2639
Algeria,1990,2739.8599
Algeria,1991,824.42566
Algeria,1992,479.9629
Algeria,1993,1753.8865
Algeria,1994,112.604065
Algeria,1995,1986.6718
Algeria,1996,1495.3911
Algeria,1997,585.4637
Algeria,1998,645.36285
Algeria,1999,1148.7722
Algeria,2000,167.43675
Algeria,2001,1206.0085
Algeria,2002,792.4686
Algeria,2003,3123.0388
Algeria,2004,2310.6228
Algeria,2005,1488.593
Algeria,2006,1142.2905
Algeria,2007,1463.0833
Algeria,2008,2881.472
Algeria,2009,989.26306
Algeria,2010,823.57697
Algeria,2011,393.7297
Algeria,2012,1000.21893
Algeria,2013,1296.2585
Algeria,2014,626.28436
Algeria,2015,194.17375
Algeria,2016,1223.144
Algeria,2017,5428.2095
Algeria,2018,8.201723
Algeria,2019,1011.98254
Algeria,2020,2327.94
Algeria,2021,385.74084
Algeria,2022,537.7567
Algeria,2023,867.5487
Algeria,2024,643.5797
American Samoa,1940,815.08276
American Samoa,1941,1645.3231
American Samoa,1942,378.1158
American Samoa,1943,934.4675
American Samoa,1944,1693.478
American Samoa,1945,1427.0886
American Samoa,1946,466.53076
American Samoa,1947,1216.4274
American Samoa,1948,846.4984
American Samoa,1949,1061.96
American Samoa,1950,814.5935
American Samoa,1951,436.396
American Samoa,1952,1499.3273
American Samoa,1953,1552.5205
American Samoa,1954,874.7548
American Samoa,1955,1516.4363
American Samoa,1956,935.79706
American Samoa,1957,1232.4181
American Samoa,1958,1458.9163
American Samoa,1959,1635.4297
American Samoa,1960,635.1063
American Samoa,1961,1165.8032
American Samoa,1962,1078.4954
American Samoa,1963,2567.4863
American Samoa,1964,187.12878
American Samoa,1965,132.41214
American Samoa,1966,821.29333
American Samoa,1967,854.06116
American Samoa,1968,261.80103
American Samoa,1969,926.7101
American Samoa,1970,905.63324
American Samoa,1971,1537.6205
American Samoa,1972,62.774757
American Samoa,1973,255.83484
American Samoa,1974,733.44617
American Samoa,1975,2210.7869
American Samoa,1976,901.93713
American Samoa,1977,848.6665
American Samoa,1978,821.3186
American Samoa,1979,29.292461
American Samoa,1980,624.3929
American Samoa,1981,1951.9824
American Samoa,1982,583.2339
American Samoa,1983,807.2958
American Samoa,1984,742.4863
American Samoa,1985,2410.2427
American Samoa,1986,14.228053
American Samoa,1987,592.67865
American Samoa,1988,734.4969
American Samoa,1989,1803.2744
American Samoa,1990,1208.4677
American Samoa,1991,2711.0596
American Samoa,1992,154.20625
American Samoa,1993,22.360916
American Samoa,1994,1200.5956
American Samoa,1995,833.8269
American Samoa,1996,808.6144
American Samoa,1997,229.19951
American Samoa,1998,1624.4933
American Samoa,1999,261.172
American Samoa,2000,725.8492
American Samoa,2001,2637.6162
American Samoa,2002,259.5778
American Samoa,2003,1961.4408
American Samoa,2004,693.3491
American Samoa,2005,930.796
American Samoa,2006,1267.8125
American Samoa,2007,1640.2052
American Samoa,2008,27.859137
American Samoa,2009,829.51874
American Samoa,2010,832.9864
American Samoa,2011,839.6971
American Samoa,2012,33.111984
American Samoa,2013,194.13846
American Samoa,2014,3081.147
American Samoa,2015,3306.161
American Samoa,2016,1747.1476
American Samoa,2017,2904.8215
American Samoa,2018,2551.3318
American Samoa,2019,772.014
American Samoa,2020,1032.1163
American Samoa,2021,1505.8372
American Samoa,2022,5.21995
American Samoa,2023,881.3631
American Samoa,2024,525.5171
Andorra,1940,1502.1406
Andorra,1941,186.36894
Andorra,1942,1725.708
Andorra,1943,3479.4268
Andorra,1944,18.841433
Andorra,1945,304.45963
Andorra,1946,747.34216
Andorra,1947,1372.5454
Andorra,1948,2440.1577
Andorra,1949,902.0536
Andorra,1950,1248.3138
Andorra,1951,3182.4453
Andorra,1952,236.85715
Andorra,1953,414.33585
Andorra,1954,1513.4098
Andorra,1955,869.2473
Andorra,1956,670.33405
Andorra,1957,1561.0582
Andorra,1958,170.80305
Andorra,1959,988.48773
Andorra,1960,541.5148
Andorra,1961,1236.001
Andorra,1962,214.89313
Andorra,1963,959.6539
Andorra,1964,469.58032
Andorra,1965,1201.8344
Andorra,1966,1779.9448
Andorra,1967,1588.986
Andorra,1968,1217.414
Andorra,1969,1583.7673
Andorra,1970,160.99577
Andorra,1971,725.5406
Andorra,1972,87.19218
Andorra,1973,1423.8606
Andorra,1974,1350.2183
Andorra,1975,695.0457
Andorra,1976,11.784547
Andorra,1977,785.7897
Andorra,1978,763.2716
Andorra,1979,1058.07
Andorra,1980,133.73756
Andorra,1981,1437.2875
Andorra,1982,1741.6348
Andorra,1983,2134.9365
Andorra,1984,380.07632
Andorra,1985,1048.8441
Andorra,1986,120.79504
Andorra,1987,996.5261
Andorra,1988,550.15454
Andorra,1989,489.1331
Andorra,1990,300.08905
Andorra,1991,931.151
Andorra,1992,65.746994
Andorra,1993,2255.6248
Andorra,1994,847.24713
Andorra,1995,900.0254
Andorra,1996,1369.401
Andorra,1997,1820.1857
Andorra,1998,757.7333
Andorra,1999,833.08044
Andorra,2000,445.4508
Andorra,2001,887.67737
Andorra,2002,530.2302
Andorra,2003,927.74915
Andorra,2004,58.096886
Andorra,2005,2161.6138
Andorra,2006,457.4194
Andorra,2007,660.463
Andorra,2008,2145.5757
Andorra,2009,860.768
Andorra,2010,3240.277
Andorra,2011,1335.3854
Andorra,2012,1026.5283
Andorra,2013,506.21173
Andorra,2014,1477.8778
Andorra,2015,2823.9412
Andorra,2016,609.04535
Andorra,2017,549.42633
Andorra,2018,1380.8186
Andorra,2019,235.83345
Andorra,2020,1564.4869
Andorra,2021,1673.2242
Andorra,2022,600.33234
Andorra,2023,945.65967
Andorra,2024,1305.8237
Angola,1940,294.29184
Angola,1941,1299.5978
Angola,1942,786.12
Angola,1943,3555.5938
Angola,1944,1079.6584
Angola,1945,1544.3176
Angola,1946,1424.1443
Angola,1947,2676.4175
Angola,1948,4020.6104
Angola,1949,824.3339
Angola,1950,938.4809
Angola,1951,417.03857
Angola,1952,566.38336
Angola,1953,1062.453
Angola,1954,609.33
Angola,1955,226.38501
Angola,1956,1460.508
Angola,1957,3553.535
Angola,1958,20.541119
Angola,1959,1598.2258
Angola,1960,2879.319
Angola,1961,555.9188
Angola,1962,553.77997
Angola,1963,880.2099
Angola,1964,616.5722
Angola,1965,1071.3121
Angola,1966,1539.467
Angola,1967,587.3794
Angola,1968,928.3983
Angola,1969,1653.7751
Angola,1970,1809.2218
Angola,1971,957.8409
Angola,1972,1301.1227
Angola,1973,639.5523
Angola,1974,880.9883
Angola,1975,751.0353
Angola,1976,399.9909
Angola,1977,1985.825
Angola,1978,1637.5701
Angola,1979,1590.9995
Angola,1980,2332.7686
Angola,1981,1301.522
Angola,1982,1334.114
Angola,1983,2009.5037
Angola,1984,1447.1938
Angola,1985,496.6065
Angola,1986,1305.6198
Angola,1987,1201.0417
Angola,1988,3001.1526
Angola,1989,218.58038
Angola,1990,199.26253
Angola,1991,956.5642
Angola,1992,909.86536
Angola,1993,208.82404
Angola,1994,777.7259
Angola,1995,1503.839
Angola,1996,1150.1625
Angola,1997,81.14741
Angola,1998,253.95767
Angola,1999,440.3382
Angola,2000,761.24384
Angola,2001,640.4803
Angola,2002,475.6278
Angola,2003,733.74225
Angola,2004,109.87107
Angola,2005,698.5396
Angola,2006,1851.9661
Angola,2007,526.27045
Angola,2008,546.09674
Angola,2009,1201.3589
Angola,2010,1797.9703
Angola,2011,37.435814
Angola,2012,524.16754
Angola,2013,625.2879
Angola,2014,1178.4937
Angola,2015,1075.1873
Angola,2016,2638.615
Angola,2017,248.19186
Angola,2018,59.65807
Angola,2019,1132.7722
Angola,2020,727.06067
Angola,2021,384.8154
Angola,2022,232.0915
Angola,2023,1133.8086
Angola,2024,357.59384
Anguilla,1940,743.85046
Anguilla,1941,2322.84
Anguilla,1942,302.66656
Anguilla,1943,2265.933
Anguilla,1944,660.9346
Anguilla,1945,1179.1589
Anguilla,1946,1514.247
Anguilla,1947,2231.2942
Anguilla,1948,102.93411
Anguilla,1949,919.47266
Anguilla,1950,678.9337
Anguilla,1951,1030.7013
Anguilla,1952,83.02353
Anguilla,1953,402.30255
Anguilla,1954,4121.1367
Anguilla,1955,4118.6016
Anguilla,1956,1021.24524
Anguilla,1957,2778.9138
Anguilla,1958,2437.328
Anguilla,1959,518.5231
Anguilla,1960,904.4744
Anguilla,1961,1608.2902
Anguilla,1962,52.77755
Anguilla,1963,579.2685
Anguilla,1964,527.6607
Anguilla,1965,1076.7626
Anguilla,1966,152.4992
Anguilla,1967,1833.6324
Anguilla,1968,2704.4448
Anguilla,1969,79.04744
Anguilla,1970,653.8503
Anguilla,1971,706.89465
Anguilla,1972,1284.5354
Anguilla,1973,2108.5852
Anguilla,1974,557.7331
Anguilla,1975,842.37585
Anguilla,1976,3150.3076
Anguilla,1977,193.6052
Anguilla,1978,591.92865
Anguilla,1979,1663.4562
Anguilla,1980,999.7133
Anguilla,1981,657.985
Anguilla,1982,1790.896
Anguilla,1983,262.2662
Anguilla,1984,2048.5479
Anguilla,1985,597.8736
Anguilla,1986,1108.7316
Anguilla,1987,201.15695
Anguilla,1988,1368.1774
Anguilla,1989,577.6683
Anguilla,1990,769.0228
Anguilla,1991,1575.7456
Anguilla,1992,1791.9392
Anguilla,1993,1065.7974
Anguilla,1994,2071.1028
Anguilla,1995,203.61592
Anguilla,1996,649.9255
Anguilla,1997,93.289276
Anguilla,1998,1646.1248
Anguilla,1999,1125.5414
Anguilla,2000,393.58786
Anguilla,2001,104.1756
Anguilla,2002,849.9302
Anguilla,2003,757.21747
Anguilla,2004,1119.269
Anguilla,2005,150.90631
Anguilla,2006,1462.7223
Anguilla,2007,2663.448
Anguilla,2008,1968.7706
Anguilla,2009,309.2448
Anguilla,2010,1038.4497
Anguilla,2011,177.7714
Anguilla,2012,1035.4855
Anguilla,2013,747.5448
Anguilla,2014,1061.3923
Anguilla,2015,345.60892
Anguilla,2016,904.35675
Anguilla,2017,103.32411
Anguilla,2018,1870.6226
Anguilla,2019,953.0392
Anguilla,2020,1026.0813
Anguilla,2021,835.7687
Anguilla,2022,878.6755
Anguilla,2023,765.96906
Anguilla,2024,663.8461
Antigua and Barbuda,1940,390.7707
Antigua and Barbuda,1941,915.02936
Antigua and Barbuda,1942,575.5642
Antigua and Barbuda,1943,904.15704
Antigua and Barbuda,1944,36.384583
Antigua and Barbuda,1945,1671.3441
Antigua and Barbuda,1946,654.8109
Antigua and Barbuda,1947,722.8137
Antigua and Barbuda,1948,1640.0446
Antigua and Barbuda,1949,970.8671
Antigua and Barbuda,1950,3109.023
Antigua and Barbuda,1951,1352.8502
Antigua and Barbuda,1952,937.1344
Antigua and Barbuda,1953,500.12097
Antigua and Barbuda,1954,1897.1858
Antigua and Barbuda,1955,2380.4312
Antigua and Barbuda,1956,639.20044
Antigua and Barbuda,1957,662.94055
Antigua and Barbuda,1958,1408.198
Antigua and Barbuda,1959,304.39764
Antigua and Barbuda,1960,1861.8262
Antigua and Barbuda,1961,1246.8353
Antigua and Barbuda,1962,586.4963
Antigua and Barbuda,1963,828.4397
Antigua and Barbuda,1964,1214.1119
Antigua and Barbuda,1965,293.33826
Antigua and Barbuda,1966,1448.051
Antigua and Barbuda,1967,848.56396
Antigua and Barbuda,1968,3299.1445
Antigua and Barbuda,1969,1084.5203
Antigua and Barbuda,1970,1490.5043
Antigua and Barbuda,1971,1356.0745
Antigua and Barbuda,1972,1591.2495
Antigua and Barbuda,1973,3622.369
Antigua and Barbuda,1974,844.9307
Antigua and Barbuda,1975,1033.6923
Antigua and Barbuda,1976,375.1506
Antigua and Barbuda,1977,560.133
Antigua and Barbuda,1978,952.72675
Antigua and Barbuda,1979,581.6051
Antigua and Barbuda,1980,705.09155
Antigua and Barbuda,1981,1199.7537
Antigua and Barbuda,1982,2735.1724
Antigua and Barbuda,1983,37.302025
Antigua and Barbuda,1984,1430.9292
Antigua and Barbuda,1985,2413.8723
Antigua and Barbuda,1986,913.312
Antigua and Barbuda,1987,699.7248
Antigua and Barbuda,1988,997.08417
Antigua and Barbuda,1989,635.4778
Antigua and Barbuda,1990,1211.3619
Antigua and Barbuda,1991,2363.7761
Antigua and Barbuda,1992,711.2801
Antigua and Barbuda,1993,1005.5185
Antigua and Barbuda,1994,1780.7003
Antigua and Barbuda,1995,1673.2781
Antigua and Barbuda,1996,1122.493
Antigua and Barbuda,1997,998.775
Antigua and Barbuda,1998,643.2812
Antigua and Barbuda,1999,909.9591
Antigua and Barbuda,2000,623.03864
Antigua and Barbuda,2001,353.96008
Antigua and Barbuda,2002,1757.5331
Antigua and Barbuda,2003,1846.2673
Antigua and Barbuda,2004,1797.1547
Antigua and Barbuda,2005,2664.6497
Antigua and Barbuda,2006,1127.4899
Antigua and Barbuda,2007,1195.3983
Antigua and Barbuda,2008,1697.8285
Antigua and Barbuda,2009,611.6387
Antigua and Barbuda,2010,443.17493
Antigua and Barbuda,2011,1382.3845
Antigua and Barbuda,2012,1384.946
Antigua and Barbuda,2013,2494.9204
Antigua and Barbuda,2014,263.37704
Antigua and Barbuda,2015,199.73677
Antigua and Barbuda,2016,941.7641
Antigua and Barbuda,2017,903.1935
Antigua and Barbuda,2018,206.1763
Antigua and Barbuda,2019,815.15967
Antigua and Barbuda,2020,1214.8302
Antigua and Barbuda,2021,1147.3763
Antigua and Barbuda,2022,83.48285
Antigua and Barbuda,2023,208.38515
Antigua and Barbuda,2024,379.02753
Argentina,1940,662.6158
Argentina,1941,983.6581
Argentina,1942,892.25073
Argentina,1943,637.9105
Argentina,1944,147.61671
Argentina,1945,667.8011
Argentina,1946,1801.0901
Argentina,1947,662.95715
Argentina,1948,509.75955
Argentina,1949,1121.1028
Argentina,1950,1775.9244
Argentina,1951,45.731396
Argentina,1952,687.2991
Argentina,1953,663.2656
Argentina,1954,1325.6523
Argentina,1955,1004.4663
Argentina,1956,2270.7637
Argentina,1957,340.23676
Argentina,1958,91.94793
Argentina,1959,1391.3232
Argentina,1960,732.6739
Argentina,1961,379.61664
Argentina,1962,289.80234
Argentina,1963,1204.2964
Argentina,1964,303.79306
Argentina,1965,819.18115
Argentina,1966,2320.7583
Argentina,1967,248.10156
Argentina,1968,2211.639
Argentina,1969,679.93805
Argentina,1970,1342.2831
Argentina,1971,1465.3998
Argentina,1972,1898.1848
Argentina,1973,140.2078
Argentina,1974,807.95184
Argentina,1975,574.27124
Argentina,1976,1200.3982
Argentina,1977,42.497215
Argentina,1978,271.0507
Argentina,1979,3552.6064
Argentina,1980,4745.191
Argentina,1981,666.5852
Argentina,1982,2132.5881
Argentina,1983,2366.2358
Argentina,1984,518.73474
Argentina,1985,699.11566
Argentina,1986,1264.9912
Argentina,1987,69.978035
Argentina,1988,563.2379
Argentina,1989,525.42145
Argentina,1990,1010.5079
Argentina,1991,166.39615
Argentina,1992,1222.7755
Argentina,1993,2311.229
Argentina,1994,94.19831
Argentina,1995,722.90656
Argentina,1996,580.36914
Argentina,1997,1102.9446
Argentina,1998,2548.2058
Argentina,1999,581.31287
Argentina,2000,1028.1001
Argentina,2001,4097.724
Argentina,2002,122.554756
Argentina,2003,599.8463
Argentina,2004,1476.2694
Argentina,2005,1448.0676
Argentina,2006,556.3259
Argentina,2007,1600.1191
Argentina,2008,639.85315
Argentina,2009,2590.2163
Argentina,2010,646.1425
Argentina,2011,1086.8678
Argentina,2012,226.73315
Argentina,2013,1215.9548
Argentina,2014,678.173
Argentina,2015,625.6806
Argentina,2016,1722.482
Argentina,2017,1847.8268
Argentina,2018,1157.4135
Argentina,2019,1675.2697
Argentina,2020,350.56473
Argentina,2021,521.4431
Argentina,2022,133.27533
Argentina,2023,1008.04803
Argentina,2024,1102.9103
Armenia,1940,454.11185
Armenia,1941,127.97862
Armenia,1942,871.0695
Armenia,1943,706.80524
Armenia,1944,851.37866
Armenia,1945,197.18175
Armenia,1946,2676.608
Armenia,1947,2438.4841
Armenia,1948,1868.9841
Armenia,1949,305.5201
Armenia,1950,1046.4113
Armenia,1951,444.7043
Armenia,1952,965.8689
Armenia,1953,826.0895
Armenia,1954,1087.8557
Armenia,1955,324.4435
Armenia,1956,1224.7152
Armenia,1957,51.77805
Armenia,1958,2246.8262
Armenia,1959,867.1007
Armenia,1960,962.7074
Armenia,1961,902.3819
Armenia,1962,1056.7322
Armenia,1963,898.2748
Armenia,1964,804.45233
Armenia,1965,437.25378
Armenia,1966,1162.7639
Armenia,1967,584.54425
Armenia,1968,693.9162
Armenia,1969,62.826157
Armenia,1970,1712.8971
Armenia,1971,564.4072
Armenia,1972,777.00793
Armenia,1973,1357.573
Armenia,1974,1198.1492
Armenia,1975,2845.7034
Armenia,1976,1528.0156
Armenia,1977,1306.7272
Armenia,1978,511.95218
Armenia,1979,1811.5557
Armenia,1980,2706.363
Armenia,1981,631.2879
Armenia,1982,924.01685
Armenia,1983,1640.4105
Armenia,1984,298.46692
Armenia,1985,1746.2382
Armenia,1986,1571.8704
Armenia,1987,601.07947
Armenia,1988,1337.1973
Armenia,1989,1368.5327
Armenia,1990,414.17914
Armenia,1991,1345.5475
Armenia,1992,761.03394
Armenia,1993,3179.9272
Armenia,1994,1004.5732
Armenia,1995,1549.8406
Armenia,1996,1389.8711
Armenia,1997,1376.853
Armenia,1998,4209.417
Armenia,1999,1085.1527
Armenia,2000,916.52686
Armenia,2001,452.39673
Armenia,2002,718.236
Armenia,2003,1326.725
Armenia,2004,648.99994
Armenia,2005,241.56691
Armenia,2006,1080.5902
Armenia,2007,2646.9568
Armenia,2008,17.186056
Armenia,2009,1275.7798
Armenia,2010,2182.2944
Armenia,2011,535.70197
Armenia,2012,654.3232
Armenia,2013,923.30554
Armenia,2014,781.41284
Armenia,2015,1104.2861
Armenia,2016,2400.697
Armenia,2017,680.4016
Armenia,2018,932.9553
Armenia,2019,1764.7192
Armenia,2020,1638.936
Armenia,2021,1057.9758
Armenia,2022,1178.2079
Armenia,2023,784.1026
Armenia,2024,1176.5536
Australia,1940,821.473
Australia,1941,417.43155
Australia,1942,1574.0918
Australia,1943,1988.6265
Australia,1944,1541.37
Australia,1945,1864.7963
Australia,1946,1041.4508
Australia,1947,1200.429
Australia,1948,1619.98
Australia,1949,1708.305
Australia,1950,718.7584
Australia,1951,1273.1147
Australia,1952,1304.0571
Australia,1953,2602.1646
Australia,1954,205.99292
Australia,1955,149.92503
Australia,1956,949.07184
Australia,1957,981.2098
Australia,1958,245.4609
Australia,1959,941.21185
Australia,1960,1244.8126
Australia,1961,1312.3037
Australia,1962,94.95686
Australia,1963,179.97133
Australia,1964,491.75446
Australia,1965,907.01965
Australia,1966,888.3246
Australia,1967,1130.119
Australia,1968,828.7398
Australia,1969,77.52538
Australia,1970,622.71674
Australia,1971,1813.3375
Australia,1972,599.9939
Australia,1973,544.6301
Australia,1974,1186.8121
Australia,1975,2236.4475
Australia,1976,18.890285
Australia,1977,578.53076
Australia,1978,729.6736
Australia,1979,1034.656
Australia,1980,1307.0612
Australia,1981,2309.6958
Australia,1982,397.14154
Australia,1983,147.94487
Australia,1984,1433.9384
Australia,1985,778.99115
Australia,1986,348.6485
Australia,1987,269.46375
Australia,1988,1791.7798
Australia,1989,183.691
Australia,1990,856.8926
Australia,1991,2477.2869
Australia,1992,333.66913
Australia,1993,1912.7555
Australia,1994,770.53345
Australia,1995,756.2286
Australia,1996,1335.0542
Australia,1997,1715.4266
Australia,1998,201.95633
Australia,1999,1226.3254
Australia,2000,764.76385
Australia,2001,1111.9067
Australia,2002,53.43158
Australia,2003,456.0705
Australia,2004,3886.286
Australia,2005,4013.074
Australia,2006,1120.5964
Australia,2007,1994.7412
Australia,2008,2922.2202
Australia,2009,696.41895
Australia,2010,439.6373
Australia,2011,1198.3116
Australia,2012,94.30599
Australia,2013,675.8775
Australia,2014,514.4644
Australia,2015,1122.8787
Australia,2016,222.29767
Australia,2017,1612.4
Australia,2018,2569.3264
Australia,2019,73.56111
Australia,2020,812.6242
Australia,2021,852.40356
Australia,2022,966.31335
Australia,2023,2728.9587
Australia,2024,836.10614
Austria,1940,1187.521
Austria,1941,5099.195
Austria,1942,216.84988
Austria,1943,676.02216
Austria,1944,1339.1172
Austria,1945,969.4293
Austria,1946,479.894
Austria,1947,1848.6521
Austria,1948,341.9481
Austria,1949,1630.284
Austria,1950,751.7173
Austria,1951,1446.9429
Austria,1952,189.84413
Austria,1953,852.0565
Austria,1954,508.90738
Austria,1955,796.8023
Austria,1956,1667.7919
Austria,1957,1860.9471
Austria,1958,1369.6469
Austria,1959,1910.0
Austria,1960,155.86127
Austria,1961,583.83057
Austria,1962,127.53623
Austria,1963,1122.5806
Austria,1964,1126.8467
Austria,1965,477.72574
Austria,1966,89.44173
Austria,1967,913.4969
Austria,1968,805.1401
Austria,1969,1340.1877
Austria,1970,161.59093
Austria,1971,2863.6614
Austria,1972,2168.0154
Austria,1973,2038.7916
Austria,1974,366.5869
Austria,1975,1061.9877
Austria,1976,121.55223
Austria,1977,1110.3801
Austria,1978,840.0633
Austria,1979,952.2773
Austria,1980,270.47113
Austria,1981,1025.8207
Austria,1982,40.778362
Austria,1983,2193.1218
Austria,1984,774.51324
Austria,1985,1069.5765
Austria,1986,1018.77783
Austria,1987,1094.0942
Austria,1988,696.94666
Austria,1989,768.5972
Austria,1990,412.5097
Austria,1991,960.5905
Austria,1992,627.165
Austria,1993,914.79065
Austria,1994,23.5672
Austria,1995,1933.7056
Austria,1996,678.8497
Austria,1997,661.8954
Austria,1998,1622.7096
Austria,1999,958.5841
Austria,2000,3152.164
Austria,2001,1645.0626
Austria,2002,962.93726
Austria,2003,435.7917
Austria,2004,1864.7277
Austria,2005,3385.9214
Austria,2006,499.18478
Austria,2007,651.49567
Austria,2008,1615.0885
Austria,2009,108.68926
Austria,2010,1826.8864
Austria,2011,1651.9635
