País,Parkinson_Predicho_Promedio,Parkinson_Real,Error_Absoluto
Ecuador,86.55,138.35,51.8
El Salvador,61.33,98.41,37.08
Guatemala,36.83,56.62,19.79
Haiti,29.06,33.48,4.419999999999998
Honduras,49.56,65.91,16.349999999999994
Peru,110.58,147.89,37.30999999999999
Trinidad and Tobago,63.01,94.89,31.880000000000003
Algeria,45.4,68.65,23.250000000000007
Brazil,68.27,101.65,33.38000000000001
Mexico,55.62,95.03,39.410000000000004
Nicaragua,52.7,77.36,24.659999999999997
Panama,76.61,112.55,35.94
Paraguay,54.14,69.57,15.429999999999993
Venezuela,54.97,101.17,46.2
Bahrain,30.77,49.45,18.680000000000003
Egypt,45.67,62.74,17.07
Iran,48.68,84.64,35.96
Iraq,32.88,45.81,12.93
Jordan,24.48,37.32,12.84
Kuwait,36.72,50.0,13.280000000000001
Lebanon,74.58,105.79,31.210000000000008
Libya,43.16,61.4,18.240000000000002
Morocco,59.65,81.64,21.990000000000002
Oman,32.56,43.01,10.449999999999996
Palestine,31.05,41.24,10.190000000000001
Qatar,25.36,32.12,6.759999999999998
Saudi Arabia,33.94,46.74,12.800000000000004
Syria,47.39,75.6,28.209999999999994
Tunisia,65.27,101.14,35.870000000000005
Turkey,68.83,104.53,35.7
Yemen,21.14,26.88,5.739999999999998
Angola,16.98,18.66,1.6799999999999997
Bangladesh,46.19,67.79,21.60000000000001
Bhutan,43.26,71.59,28.330000000000005
India,54.0,73.61,19.61
Nepal,45.3,57.62,12.32
Pakistan,35.2,39.9,4.699999999999996
Burundi,19.22,17.64,-1.5799999999999983
Central African Republic,20.35,18.6,-1.75
Congo,26.16,29.16,3.0
Democratic Republic of Congo,18.68,20.06,1.379999999999999
Equatorial Guinea,21.73,21.59,-0.14000000000000057
Gabon,37.29,39.21,1.9200000000000017
Comoros,26.35,35.4,9.049999999999997
Djibouti,18.56,24.93,6.370000000000001
Eritrea,16.62,20.29,3.669999999999998
Ethiopia,19.9,21.69,1.7900000000000027
Kenya,21.05,24.6,3.5500000000000007
Madagascar,17.03,16.9,-0.13000000000000256
Malawi,18.09,18.91,0.8200000000000003
Mauritius,77.43,124.31,46.879999999999995
Mozambique,18.26,16.91,-1.3500000000000014
Rwanda,19.39,22.94,3.5500000000000007
Seychelles,89.26,106.21,16.94999999999999
Somalia,12.26,11.53,-0.7300000000000004
Uganda,17.86,17.94,0.08000000000000185
Tanzania,19.82,22.94,3.120000000000001
Zambia,18.74,18.39,-0.34999999999999787
Botswana,27.95,35.74,7.790000000000003
Lesotho,27.42,29.15,1.7299999999999969
Namibia,26.82,32.89,6.07
South Africa,40.31,48.91,8.599999999999994
Eswatini,23.75,27.19,3.4400000000000013
Zimbabwe,21.82,24.02,2.1999999999999993
Benin,24.22,23.12,-1.0999999999999979
Burkina Faso,23.96,23.68,-0.28000000000000114
Cape Verde,52.07,61.47,9.399999999999999
Cameroon,24.33,24.67,0.3400000000000034
Chad,19.14,17.26,-1.879999999999999
Cote d'Ivoire,21.78,24.12,2.34
Gambia,25.36,26.59,1.2300000000000004
Ghana,24.57,26.83,2.259999999999998
Guinea,28.9,25.45,-3.4499999999999993
Guinea-Bissau,18.87,19.04,0.16999999999999815
Liberia,23.78,21.78,-2.0
Mali,19.95,18.89,-1.0599999999999987
Mauritania,29.11,31.13,2.0199999999999996
Niger,17.25,16.29,-0.9600000000000009
Nigeria,25.2,25.02,-0.17999999999999972
Sao Tome and Principe,34.91,36.58,1.6700000000000017
Senegal,28.18,32.42,4.240000000000002
Sierra Leone,24.6,23.91,-0.6900000000000013
Togo,22.7,24.02,1.3200000000000003
Cook Islands,102.0,153.09,51.09
Greenland,86.22,123.93,37.71000000000001
Sudan,32.8,34.84,2.0400000000000063
